Percent Increase,Unit Number,Hours,z_covariate
6.9626,111,3750,1
7.4238,111,4000,1
0,112,0,1
0.3864,112,250,1
0.7988,112,500,1
1.3521,112,750,1
1.741,112,1000,1
2.979,112,1250,1
3.5871,112,1500,1
4.0315,112,1750,1
4.4393,112,2000,1
4.7906,112,2250,1
5.2205,112,2500,1
5.4848,112,2750,1
5.9639,112,3000,1
6.2276,112,3250,1
6.9877,112,3500,1
7.3671,112,3750,1
7.8841,112,4000,1
0,113,0,1
0.3034,113,250,1
0.7448,113,500,1
1.5225,113,750,1
1.8548,113,1000,1
2.3897,113,1250,1
2.9473,113,1500,1
3.5104,113,1750,1
3.9207,113,2000,1
5.0316,113,2250,1
5.4708,113,2500,1
5.8362,113,2750,1
6.4962,113,3000,1
6.9372,113,3250,1
7.3883,113,3500,1
7.8472,113,3750,1
8.087,113,4000,1
0,114,0,1
0.438,114,250,1
0.6979,114,500,1
1.0515,114,750,1
1.3526,114,1000,1
1.7998,114,1250,1
2.5514,114,1500,1
2.8274,114,1750,1
3.3908,114,2000,1
3.7159,114,2250,1
4.0906,114,2500,1
4.8296,114,2750,1
5.4145,114,3000,1
5.759,114,3250,1
6.1419,114,3500,1
6.5086,114,3750,1
6.8823,114,4000,1
0,115,0,1
0.5056,115,250,1
0.8349,115,500,1
1.2864,115,750,1
1.5191,115,1000,1
1.9148,115,1250,1
2.2697,115,1500,1
2.7763,115,1750,1
3.4153,115,2000,1
3.7814,115,2250,1
4.1053,115,2500,1
4.3754,115,2750,1
4.6295,115,3000,1
5.3831,115,3250,1
5.8391,115,3500,1
6.1618,115,3750,1
6.6247,115,4000,1
